resolved_player_id,player_full_name,loyalty_card_id,casino_player_id,pms_guest_id,tier,tier_credits,dedicated_host_id,is_hosted,gaming_theo_win,gaming_actual_win,hotel_ancillary_rev,comp_dollars_issued,blended_worth,comp_efficiency_ratio,floor_vs_pms_worth_gap,carded_sessions,hotel_stays,days_since_last_play,reactivation_flag,high_worth_unhosted_flag,identity_resolved_from_sources
RP0010,Michelle Wang,7008441200000619,10000235,G9024454,Platinum,53162,,N,27334.7,44349.4,3677.88,521.27,14954.61,0.03,16815.03,3,1,23,N,N,3
RP0028,William Singh,7008441200001688,10000713,G4385393,Platinum,46505,,N,23845.4,1907.4,7386.15,1258.76,14507.85,0.09,10451.6,5,2,40,N,N,3
RP0005,Steven Lewis,7008441200000305,10000141,G8507165,Platinum,53923,,N,24776.3,-35078.99,4859.65,732.31,14089.03,0.05,10687.27,3,1,151,N,N,3
RP0041,Wei Nakamura,7008441200002146,10001105,G5500123,Platinum,29433,,N,17706.74,1792.88,9607.5,1168.95,12216.0,0.1,6752.51,10,5,8,N,N,3
RP0013,Priya Garcia,,10000341,G2997268,Platinum,38366,,N,21069.61,-6686.57,3798.19,442.96,11864.17,0.04,9797.31,6,1,82,N,N,2
RP0021,Lisa Johnson,7008441200001218,10000492,G2486193,Platinum,32770,,N,15886.46,3707.71,10403.12,1593.54,11584.32,0.14,5315.64,8,4,22,N,N,3
RP0040,Donna Clark,7008441200002081,10001063,G4404877,Platinum,26414,,N,17039.48,-14754.49,8019.27,1027.0,11326.48,0.09,6110.52,8,4,18,N,N,3
RP0036,Joseph Robinson,7008441200001918,10000923,G6592968,Platinum,25511,,N,13232.26,9711.41,5632.59,720.69,8587.54,0.08,6095.89,4,2,104,N,N,3
RP0026,Andrew Torres,7008441200001517,10000678,G9181599,Platinum,24739,,N,16003.96,6781.35,1444.39,144.71,8507.52,0.02,8506.43,3,1,17,N,N,3
RP0023,Susan Taylor,7008441200001333,10000564,G8806600,Platinum,18265,,N,11899.27,12753.28,2143.45,242.53,6699.84,0.04,6474.76,6,2,247,N,N,3
RP0047,Donald Anderson,7008441200002441,10001269,G4906007,Platinum,20313,,N,10436.51,142.55,2713.75,317.36,6168.07,0.05,4968.94,9,3,7,N,N,3
RP0003,Kimberly Williams,7008441200000189,10000084,G2433487,Chairman's Club,250000,H01,Y,4971.46,7429.91,0.0,0.0,2485.73,0.0,3228.72,1,0,211,N,N,3
RP0050,Amanda Rossi,7008441200002583,10001373,G5588464,Red,7870,,N,3857.04,-2965.18,1436.41,108.59,2431.26,0.04,1481.34,3,2,63,N,N,3
RP0015,Patricia Clark,7008441200000858,10000397,G4756642,Red,5715,,N,3539.35,-2862.51,1445.7,117.36,2275.67,0.05,1332.88,3,2,118,N,N,3
RP0001,Paul King,7008441200000049,10000000,,Red,5548,,N,3815.9,5629.08,0.0,0.0,1907.95,0.0,2470.86,4,0,1,N,N,2
RP0009,Lisa Torres,7008441200000574,10000228,G1059363,Red,5894,,N,3689.43,-147.04,0.0,0.0,1844.72,0.0,2199.08,2,0,7,N,N,3
RP0045,Chen Thomas,7008441200002333,10001236,,Red,6433,,N,2935.77,-3363.7,0.0,0.0,1467.88,0.0,1467.88,3,0,127,N,N,2
RP0018,William Rossi,7008441200001061,10000453,G3846175,Red,5453,,N,2754.85,5602.69,0.0,0.0,1377.42,0.0,1937.69,1,0,40,N,N,3
RP0044,Paul Scott,7008441200002250,10001196,G2210378,Red,4873,,N,2584.62,-1377.53,0.0,0.0,1292.31,0.0,1292.31,1,0,332,N,N,3
RP0014,Thomas Garcia,7008441200000832,10000365,,Red,4796,,N,2476.96,-1633.65,0.0,0.0,1238.48,0.0,1255.27,2,0,140,N,N,2
RP0022,Barbara Perez,7008441200001266,10000531,G1235818,Red,2858,,N,1944.21,-3133.46,496.92,41.89,1146.03,0.04,798.18,2,1,237,N,N,3
RP0032,James Garcia,7008441200001784,10000809,G2432535,Red,2564,,N,1566.63,315.95,82.93,5.19,812.34,0.01,844.03,4,1,37,N,N,3
RP0049,John Harris,7008441200002527,10001329,G2332250,Red,1375,,N,890.69,2066.58,0.0,0.0,445.35,0.0,652.0,1,0,356,N,N,3
RP0004,Joseph Moore,7008441200000244,10000124,G5665937,Red,819,,N,399.89,144.07,155.68,10.61,254.43,0.04,179.71,4,2,56,N,N,3
